Page Name,Section Name,Element ID,Original Site Content,Next.js Site Content,Status,Verification Required,Priority,Verification Status,Verified By,Verification Date,Migration Status,Notes
Homepage,Hero Section,hero-tagline,"Capturing life's moments in Frankfurt",,"Missing",Yes,Critical,Not Started,,,"Not Started","Verify tagline is current"
Homepage,Hero Section,hero-cta,"Book a session",,"Missing",Yes,High,Not Started,,,"Not Started","Confirm CTA wording"
Homepage,Services Overview,service-portrait,"Portrait photography starting at €200","Portrait photography starting at €250","Mismatch",Yes,Critical,Not Started,,,"Not Started","Price discrepancy - confirm current pricing"
Homepage,Services Overview,service-family,"Family photography starting at €250","Family sessions from €300","Mismatch",Yes,Critical,Not Started,,,"Not Started","Price discrepancy - confirm current pricing"
Homepage,Services Overview,service-event,"Event coverage starting at €350/hour","Event photography from €400 for first hour","Mismatch",Yes,Critical,Not Started,,,"Not Started","Price and structure discrepancy - verify current offering"
Homepage,Services Overview,service-couples,"Engagement shoots starting at €300","Couple sessions from €350","Mismatch",Yes,Critical,Not Started,,,"Not Started","Price discrepancy - confirm current pricing"
Homepage,Testimonials,testimonial-1,"Jason captured our family perfectly. The photos are stunning!","Jason has an incredible eye for detail. Our family photos exceeded our expectations!","Mismatch",Yes,Medium,Not Started,,,"Not Started","Different testimonial - verify which is current"
Homepage,Testimonials,testimonial-2,"Working with Jason was effortless and fun.","Working with Jason was easy and fun.","Match",No,Medium,Complete,"System","2025-04-01","Complete","Content matches"
Homepage,Contact Section,contact-email,"info@jasonholtphotography.com","contact@jasonholtphotography.com","Mismatch",Yes,Critical,Not Started,,,"Not Started","Email address discrepancy - confirm correct email"
Homepage,Contact Section,contact-phone,"+49 123 456 7890","+49 123 456 7891","Mismatch",Yes,Critical,Not Started,,,"Not Started","Phone number discrepancy - confirm correct number"
About Page,Bio Section,bio-intro,"Jason Holt is a professional photographer based in Frankfurt, specializing in portrait and event photography.","Jason Holt is an award-winning photographer based in Frankfurt, Germany, with over 10 years of experience capturing portraits, events, and special moments.","Mismatch",Yes,High,Not Started,,,"Not Started","Different bio - verify current information"
About Page,Experience Section,experience-years,"7+ years experience","10+ years experience","Mismatch",Yes,High,Not Started,,,"Not Started","Experience discrepancy - confirm correct experience"
About Page,Philosophy Section,philosophy-text,"I believe photographs should tell your unique story...","My philosophy is simple: create authentic images that tell your story...","Mismatch",Yes,Medium,Not Started,,,"Not Started","Different philosophy text - verify preferred wording"
Services Page,Portrait Section,portrait-description,"Professional portrait sessions designed to capture your personality...","Portrait sessions tailored to showcase your authentic self...","Mismatch",Yes,High,Not Started,,,"Not Started","Different description - confirm preferred wording"
Services Page,Portrait Section,portrait-pricing,"€200 for 1-hour session, including 5 edited images","€250 for 1-hour session, including 10 edited digital images","Mismatch",Yes,Critical,Not Started,,,"Not Started","Price and offering discrepancy - confirm current pricing"
Services Page,Family Section,family-description,"Family sessions to capture the connections and joy between loved ones...","Family photography that preserves your most precious relationships...","Mismatch",Yes,High,Not Started,,,"Not Started","Different description - confirm preferred wording"
